sn,text,neutral,hate_speech,threatning,offensive,harassment
30,"Laj Pani lajjayo hola aba ta
Chya Veda Haru",0,0,0,0,1
31,Ghantey le desh babayoudaina,0,0,0,1,0
32,IPL vanda yata ramailo xa,1,0,0,0,0
33,Sarina Bhatt yo sab chor haru hun,0,0,0,1,0
34,Jungle ko badar lai paxi dhapamla pahila ihh badar haru lai sadan bata dhapauna parcha,0,0,0,1,0
35,"Flim Kina herna Jana paro ra yesto news herna payasi 
So disappointing",1,0,0,0,0
36,Yo sab gu khana ko lagi mehanat gardai ho,0,0,0,1,0
37,Yuba navannu na yrr kukurko hul vannu,0,0,0,0,1
38,Tee vayara na bolya Aile samn pm,1,0,0,0,0
39,K-wl BaSnet birod gardaima desh nabanne vanne hudaina yo vaneko pratipakxya ko bhumika ho,1,0,0,0,0
40,K-wl BaSnet desh kina bndaina pahile afu jati darma bnda pni mathy aubiyera afno bibek use garnus desh tesai bnxa bnxa bnxa,1,0,0,0,0
41,Kusum Gartaula samaya ko mag ho tyo,1,0,0,0,0
42,Sarina Bhatt yo sab chor haru hun,0,0,0,1,0
43,Mandip Subedi ehhh baa bolyo vanerr risako hoin k boleko xa tyo thahà xa??? Pramanitt garnu paryo ni boleko kuraa,1,0,0,0,0
44,Pratiksha Neyong Limbu Ani eai rai limbu lai matra na ramro lagne hora,1,0,0,0,0
45,Rozey Malla Thakuri ani Timaru aru jattle Rai limbu hernu nasakeko chy kin ?? Harka ko birodh garne fery aru jat ko matr xannn tw ....sahi kura gardaa pni birodh garx,1,0,0,0,0
46,Ekata Adhikari bolna payo vandai ma kehi nasochi bolne ho ta,1,0,0,0,0
47,Na bole nii birodh nai garney bolya nii birodh nai garney kei gari sukha na pauney vaya balloon uncle ta,1,0,0,0,0
48,Kaile dekhi gumseko balla nihu paye ..... Dalla haru le,0,0,0,1,0
49,Teri ma bhate haru,0,1,0,0,0
50,Jhola bokeko kasaila dekhina ta,,,,,
51,Sab khate haru hoo,,,,,
52,Jungali haru ko ajjai vaki xa,,,,,
53,E bideshi dalal ko sarkarlai sachet nepali le desh nikala garnu parxa,,,,,
54,"Wohi hamro desh Ka neta 
Bhanthe hunata Jun jogi Aaye Pani testai bhane 
Yo Thau ma Gaye pache sabai bheda nai Hunxa kya Testo ta lakdaina",,,,,
55,Kun party ko admin ho khali birodh ko matra post garxa yar,,,,,
56,kadal ayusha mahakali bechua KO Santan xa kina na garosh,,,,,
57,Sab khate haru hoo,,,,,
58,Bhate haru ko kaam xaina,,,,,
59,anpad haru10 khulit 11 khulit 12 khulit ish ko yad aayo,,,,,
60,Dhukka hunus yo birodh yettikai sakinxa,,,,,
61,Yasma chahi ke xa hao ra yasto birod gareka purno patry le,,,,,
62,Ipl herna xodera yo video herdai basyako xu yrr,,,,,
63,Yesta lai vote diyera sabai nepali janta le dukhya paune vayem,,,,,
64,Pariwartan ko lagi vanera jyan gumaye. Tara k pais Nepali? Pakshya ma vaka ni uii pratipakshya ma vaka ni uii..,,,,,
65,Class ma yesto ta normal ho ?,,,,,
66,Ipl vanda Yetai ramilo raicha yarr,,,,,
67,Yesto ramailo hernai paiyena hamle kp baa KO Paloma,,,,,
68,Badar pahile sahar bata dhapaune bela vayoo kta kti bajey kasto k gareko yestoo,,,,,
69,K garnya j Vaya Pani Nepal nai paryo kyarya,,,,,
70,Kam payea j hoss berojgarr haru ley..,,,,,
71,Pagal haru,,,,,
72,Hara bhatwa haru,,,,,
73,2/4 jana lai alu boom  padkaideu ta kosaile voli bata game kheler basxan ghar vitra,,,,,
74,Ko ho teo Chair uthaune,,,,,
75,"Kun chai bihari lai sansad banayexan….
Yeslai lai India tira lakhetnu parne",,,,,
76,Kasko ama hun kurchi ko kami vo ki k ho samatya ra vagdai xan ta,,,,,
77,Ho teivayarw ho Education important,,,,,
78,Maara maar kaataa kaat hunxa ki kyaa ho?? Shishir Dagami Magar,,,,,
79,Yuwa Haina jhola bokney jholey hunn jatha haru,,,,,
80,Kati dherai yuba o ho dar lagyo,,,,,
81,Beroj gari haru ko kam nai k xa ra vanya,,,,,
82,Sab kp ko xaura haru hun,,,,,
83,Student morcha tesai band hunu parxa vaneko haina ni...eene haru ko kam mai tei ho,,,,,
84,Job ma lagi halam hoii,,,,,
85,Baru bidesh jaao ek dui poisa kaamuxau desh lai pradusit nabanao,,,,,
86,Jholey Lai yuwa navanana rutu,,,,,
87,Nepali honi tero bau hola kukur,,,,,
88,Berojagar  Yuba haru yestoi hun kam na paya xi kai garey rw time pass gardoi xan,,,,,
89,Hoina yo sambandhi ta birodh ta vaaratle po garnuprni hola ni why we,,,,,
90,Yo chor harulai ek ek chamcha guu khuwayer pathaunu paryo,,,,,
91,Herdai mug hatu yemale hatu jasto xa,,,,,
92,Youba hoen ho bayrojgar/jholay vhanam hola,,,,,
93,Viral hun gaya hun yiniharukasto bani sano kehi vaihale Pani aandolan,,,,,
94,Bau le daijo ma dya kurchi sadan ma lagera fodna lagixe baulai,,,,,
95,Bahumat ko matlab thaxaina mula haru lai power vayesi j ni garxan .,,,,,
96,Badar haru,,,,,
97,Kasle jitayo yesta lai thukka,,,,,
98,Naboleni sukha xaina boleni sukha xaina garo xa hamro PM lai,,,,,
99,K ma birodh garne vaner mauka xopekaharulai kaidaaa vayo ni,,,,,
100,"Rabindra dhant laai Road to UFC baata sangsad maa  lyayera yo kursi uchalne done haru saga game garaunu paro lou savaamukh mahodaye!! Yinkaa mukh maa dhant kaa mukkaa, bhukkaa bhukkaa bajaareko herna man xa!!",,,,,
101,"Euta kotha vitrakai badar samhalna ta garo vairaxa 
Jungle ma vaka lai kasari saknu",,,,,
102,Ipl bhanda ramailo yata x,,,,,
103,"maile 10 years remittance pathako
yei muji haruko nautanki herna lai raix haina! saala",,,,,
104,Haina yo sadan ma badar matra janxan ki yaha gaye paxi badar vanxan nabujheko laaz ni xaina xya,,,,,
105,Jole haru,,,,,
106,Ajai xan loyan guys haru..aile samma ghanti ma prabesh gareko rainaxan tw,,,,,
107,Jhola haru,,,,,
108,Bujnu na sujnu govinda gaii vanya yehi ho… zebra cross xhodera Aaru thau bata bato katni yuwa nai ini haru hun…,,,,,
109,Ho yo ekdamai sambedansil abastha ho  kunai  na kunai gopya samjhauta garekai xa desh ko biprit yesle jagruk hunai parxa aba,,,,,
110,Aba kati din  lai kam pugyo aba,,,,,
111,Bomb lyau bomb... Yekaochoti ma sabbai swaha,,,,,
112,Yesta lai pane representatives vanxan? Tait! Laj nai lagnee... Sabaii namuna namuna raixann... Rcb ko game xode xode hereako haii*,,,,,
113,Josh ma hoss gumauna pugexa sudda bhanam ki suddii,,,,,
114,Aaba 5 barsa jasle j sukai vanun sabai pass hunxa jatha haru karairakhxa kina aaba aarko chunab ma bahumat leraune aani aafai garne j j man lagxa jatha haru,,,,,
115,PM jasto manche le sochera bolnu paryo ni,,,,,
116,Count garam ta berojgari kati rahechhan,,,,,
117,Arko chunab ma 5 sit,,,,,
118,"Sai ho,  yasto pani bolne ho",,,,,
119,Sabai bhanda pahile yee badar haru bhagauna paryo. Jaanvar hun ki saamsad?,,,,,
120,tiktok ma vanda ta yata po chartikala ramailo hudai rahexa,,,,,
121,UFC ma pathaidim rutu medal sure,,,,,
122,K payau nepali kera,,,,,
123,Rada ban haru,,,,,
124,Jholey Haru ko kaam ny tei ho,,,,,
125,Naboldani birod boldani birod yo tw schedule voisako,,,,,
126,Herdai tahahuncha kun ho kaha ko bhanayra,,,,,
127,FIFA World Cup aaudai xa raw ho so I will be busy watching it otherwise I would have replaced them and taken over,,,,,
128,Bijok xa yar..tanab nai tanab.,,,,,
129,2/3 xa pelera laijau sabai. Maha veda haruley defend handi halxan vagwan haruko.,,,,,
130,New goverment aayse asto picture dhakna pardena hola vanko ustii jun joge aaya panii kan naii chirako vana jaii,,,,,
131,UFC fighters chali ra xa Nepal ma Ni,,,,,
132,IPL final vanda yata po ramailo xatalauna kata herni hola,,,,,
133,Anpad pakhe haru ke majority vanne bujhdaina ki k ho sadhai badar bewahar dekhaunu oarcha ra?? Yesta ko samsad pad ra ahile samma ko sabai talab firta garna lagaunu parcha,,,,,
134,"Hami lay iniharulai tya ladnw pathaya hou tesilay ladirw xn ,desh bikash garlan,kanun ramro banaulan vanerw pathakaa mnxya tw laddai xn ,j ho pargati ho yo ni",,,,,
135,Ramilo po xata yata ta,,,,,
136,Inharu baru badar dhapauna pathaye janta haru kasto hola tw baru euta problem tw solve hunxa yesto harkat day by day,,,,,
137,Aba Badar dhapauna lagda hune bhayooo hanwniya haru laii,,,,,
138,IPL Final cha yrr..aaja yeta herna vyaiyena,,,,,
139,Majority vyesi ni jabarjasti hunxa?,,,,,
140,Yo sabai feri harka daju naaune din ma hunu parne ?,,,,,
141,Kukur ko puchar sidha hola yo khatey yemaley congress maobadi manxey huna sakdeinan,,,,,
142,"Where is Backbenchar leader harke ?
Harke vako Vaya Kati ramailo hunthiyo hola jhan",,,,,
143,Vote kinaa change vayo vane ho yaai bata tha hunxaa,,,,,
144,"Jabarjasti kasari hunxa 2/3 vote xa hoina ra aily ko sarkar sanga ki 
1/3 Ko kura suney ho sarkar ly 
Nabujhyeko kura......ajhai samma....
Bujhaidinus kasaily khas mh k ho kura",,,,,
145,Sankhya pugya din aajai ho,,,,,
146,Yo pagal pagalni ko ho asta lai gu aujel kutna parxa janta ko kam garna patha ko ki bal dekhauna,,,,,
147,Ipl vanda yatai ramilo raixa,,,,,
148,aayo aukad ma abha balal tha vyo ne aafno sarkar huda kasri pass gartho timi haru ko sarkar ra party la,,,,,
149,Jhola haru,,,,,
150,Thukka berojgari haru  nabujhi pakkai bolya ta hoin hola  parman diya voli vani ye berojgari gari sabai li khor ma rakhar latthai la dam basunjal dinu hai mama,,,,,
151,Khoi ta yini haru Lai job deu I think they needed job badly such a job less person,,,,,
152,Na boldaboleyna bolda birod yemaly matra hola yesto chutiya,,,,,
153,Rojgari navayera ho,,,,,
154,Garmi ma hawa khana hideka holan sayed,,,,,
155,kei yuba yattiko hunu parx desh ma ...,,,,,
156,Yo gumale ko hoki  chameli gang ko ho,,,,,
157,Masu vata haru,,,,,
158,Yo mc haru ko natak dhirai vyo uta ipl gt le garo yr  yo khate hari  le npl ma k hi huna dine xin sab lai hatkhuta bhacne gati police khata sarkar,,,,,
159,Yeti garna napayare aasti Dekhi bolena bolena vaneko hola,,,,,
160,Yesta sala khatey haru lai yak yak Gari xoper hannu parxa k ani tahah hunxa,,,,,
161,Kursi uchalne bani kaile nahatne vo neta  haru ko,,,,,
162,"Sadai ko natak k ho yesto, janata le kanun banauna pathayeka hun , dada giri garne thau hoina",,,,,
163,"Ramailo xah je hos 
K garya hola yo?",,,,,
164,Aaja voli khub news herne bani pareko xa samsad vitra yesto ramailo xa,,,,,
165,Nastik haru??,,,,,
166,IPL final Vanda yeta ramailo raxa,,,,,
167,Yasto haru laii jitayasi yasataiii ho,,,,,
168,Yeti ko herna paye xutai saan xa sansad ko,,,,,
169,Manpower daley lai sabhamukh banayesi aba yestai hunchaa.,,,,,
170,Jabarjasti vaneko k ho?,,,,,
171,"Hait... 
 Yo ho ni tarika",,,,,
172,Rabindra Dhant matra haina Nepal ko dherai MP haru UFC ma jana sakne rahexa...,,,,,
173,Yattiko ko chai hunu paryo hai,,,,,
174,Ghuda muni 1goli 1min ma ghar pugxa enaru,,,,,
175,"Yuwa haru 
Veda haru ",,,,,
176,Haina hola,,,,,
177,Desh banaunu gako manxe haruko yasto xa para ani hunx janu ni baru UFC khelnu,,,,,
178,Yuba vaye c 2/4 mukka ek arka lai hana han ta hunu parxa,,,,,
179,Yo khateni ko raixa,,,,,
180,Nepal naii India ko ho k madachot kina kura nabujeko,,,,,
181,Bhatuwa haru,,,,,
182,Thukka pagal haru,,,,,
183,Sala haru rabi le vaneka theya ni pm bolxan dhumdhadka sath bolxan vanera aba bole sab ko chaak maa aago lago,,,,,
184,Mailey ta ipl final xodera yeta herira xuh,,,,,
185,20/25 seat ma jarda pani buddi ayena hai.. next choti below 10. ani next chunab ma 0 nahola vanna sakinna kinani minus hudaina parliament ma.,,,,,
186,"Opposition 
Gunda gang, 50 barsey so called student leaders, 2-3 ta bridhha samsadh, Anarchist harkey gang ",,,,,
187,Bolda ni sukha xaina nabolda ni sukha xaina,,,,,
188,Aananda ley ghar ma nasutera kina hola ne,,,,,
189,Kaam napayesi garne nai yehi ho,,,,,
190,Tesma maubadi Pani dherai xan,,,,,
191,2/3 rd ko support huda hudai pani .....???,,,,,
192,Yniharu lai karbahi hunxa ki hudaina sabhamukh jiu??,,,,,
193,Aandlan ma aaune khate Hun guethe jasto jatha Hun...hami nepali le espali sarkar ko kamlai sahansilna purbak kamlai nadekhi kei kura ma birodh garxau vane Nepal kahile pani agadi vadddaina...dhanyabad jay Nepal jay garkhali,,,,,
194,Nepal Police mama vaata hannu ta,,,,,
195,Kehi nepali yuba hoina yamale ko bheda vanne parjati ka jantu haru hun,,,,,
196,R*** haru,,,,,
197,laaj ko pasaro,,,,,
198,"Yeii dekhna baaki theo dekhiyo
 aru pani post garum high jump wala",,,,,
199,Goli hana ek ek lai.  Sala sabai le mare hunxa. Bau marera aama ko jawani sakera xori ma aakha lagaune jaat vanthe yemale lai. Ho raxa.,,,,,
200,Oli ka gu khane haru yastai hun,,,,,
201,Yo aaimai lai samsad banauni kun party raicha?,,,,,
202,"Yasta aarajak lai vote dine janta lai xhai k bhanne aba 
Bikash birodhi aarajak sangathan",,,,,
204,Dikshya Adhikari ... Jam jam po Vai sakyo ta ...bomb nai chaina Ra po ?.,,,,,
205,Ghar ma Kam xaina k garu k garu vako theyo hola,,,,,
206,"Deusi kheldai po ho solti hru 
bhatyao masta gharbeti niskini wala xainan",,,,,
207,Sab kp oli ko party ko manxe ho,,,,,
208,Bolda pani Vayana na bolda pani Vayana,,,,,
209,iniharu le kei napdinanan,,,,,
210,Fursad dherai vayeko haru,,,,,
211,Jholey haru,,,,,
212,Kamm xaina mula haru ko,,,,,
213,Voli ko india ko patrika ma ipl vanda paile nepal le india ko jamin micheko xa vanera headlines aaula jasto xa,,,,,
214,Kam kaj xainw k garum vandha andolan garum viral hum vanxan hunxan jholey haru aru kam xainw tihi ho kam ?.,,,,,
215,Yeni haru ko kaam hudaina kya ho j bani birodh garna lai sadak mai ekchin mmai niskinchhan ba pailaka thula neta haru twtra guff denthe teti bela chai kun dulo mah harauthe yeni haruu kha k vannuu,,,,,
216,Berozgar haru sabjana haha,,,,,
217,Purano kukur haru ajhai sudhriyanan,,,,,
218,yo  kun chai ho mula super man jasari kaile udi raxa kaile jump hani rako xaaa,,,,,
219,"Mahabir kaka la thik vannu vayako thayo badar hatauna garo xa
 thukka  badar haru",,,,,
221,Badar aatanka ley dukha diyo ni prabhu sansad ma ni,,,,,
222,Yesta le desh banauxa,,,,,
223,k hereko Debre haat ley deyna,,,,,
224,Tyta Nepal KO samsad harau meeting basako vnu nni laj lagdo k ho yo ntk,,,,,
225,Badar vanda paila iniharu lie thegan lagauna parni vayo,,,,,
226,Yesta ufrine badar lai Sadan ma puryaye paxi yestai hunxa,,,,,
227,Nepal ley micheko bharat ko thau katai Dharan tw haina ?,,,,,
228,Kurchi uchalne kun party Ko rayexin teskai tauko ma bajaunu parne,,,,,
229,Kursi uchalna pathayeko po raixa ta yeha samma,,,,,
230,Bikram KathetJati gare ni yemale lai manxe banauna nasakine rahexa,,,,,
231,K saro ramailo gareko hola Amama action movieko villian jhei garyaxan ta. Bhatey haru na kam garne vaye nata kam garne lai garna diney vaye.,,,,,
232,Teu Tero bau ko personal property Hoina gawar muji khatey ni Jholey ni,,,,,
233,Nepali bigboss,,,,,
234,IPL vanda yata ramailo xa,,,,,
235,Kati ramilo hoteej naaudai yesto,,,,,
236,Bigg boss ho kya,,,,,
237,Bhandari Tara sahi ho,,,,,
238,Thukka yasta badar ta chhan samsad ma kaha bancha desh,,,,,
239,Jangali haru,,,,,
240,Rekha Khadayat pahila high jump dherai garthiyo re ke khetko aalima tyaslai kamal hola,,,,,
241,Teasure release garnu parla jasto x,,,,,
242,Bahut majja aarahaahai....malai markey,,,,,
243,"Who said nepal ma big boss, spitsvilla xaina?",,,,,
244,Ipl Final vanda yetai ramaiiloo xah hai,,,,,
245,"Vayo Nepal lai Yamale Congress nai thik ho, future analyze nagari patar patar aru le j vaneko cha tei kurako paxi lagne thukka, afno logic lagauna nasakne hawa Nepali haru.",,,,,
246,Comedy show ta aasai badhnam xa  aasli comedy ta samsad ma chaleraxa,,,,,
247,Sab Lai. Bhata han sarkar,,,,,
248,Haa haneya jeu haru murdabad,,,,,
249,Ajhai masu bhaat khana pugya chaina bhaatey haru????,,,,,
250,J hunxa nepalma hunxa  aba kam paya,,,,,
251,Yo Sab party KO jholey Haru ho madarchod,,,,,
252,Bolya ni sukha xaina na bolya ni sukha xaina  kasto manxya haru holan,,,,,
253,Not Yuba padheleheko gawar bhanxa yesto li .Muji sachha desh bhakt ho vane,,,,,
254,Bibek Rungmahang Rai awta sts chaenxa aba,,,,,
255,Boleni pir nabole ni pir,,,,,
256,Berojgaari bhatta ko bewastha garnu paryo,,,,,
257,Aastha Dhakal ho nani ho.. nepal nai bharat ko hissa ho bhanya bhaya ajhai ramro hune raixa ne hai ,,,,,
258,Bhata charge napuge KO hau ek dui bhata lagam na yinihru laii ani line ma aaucha..,,,,,
259,Yemale le vannu ni hau,,,,,
260,Chutiya nai chutiya ley variyako desh,,,,,
261,"haina bolepani sukha xaina nabolepani sukha garna k raixa vanya yar 
bolena bolena vandai umfriya  aba bolyo  feri umfriya",,,,,
263,Gar gar j garna man xa gar hami Lai bal Xina,,,,,
264,Ystai ystai Gopte haru le grda desh ma bikash nvako raix,,,,,
265,"Yuwaa haru
 Jholey haruuu",,,,,
266,Dipak Acharya kina testo gareko,,,,,
267,yemale ko kam xaina pahile ni testai garxan ahile ni,,,,,
268,Ipl vanda ta yta po ramailoo xa aaja,,,,,
269,Bee Nod Thapa testo navana 49 ma all out vako history ni k tha fery dohorina ni aakxa,,,,,
270,Mahabir pun le xito badar dhapaune machine banaunu paryoyesta natheybadar nai badar xan samsad ma,,,,,
271,Yesta samsad lai vote halne janta kasto holan,,,,,
272,Didi bodybuilder ho ki jasto lagyoufrina panii danger ufrinu hudo raixaa,,,,,
273,Jholey haru jindabaad,,,,,
274,Kam napayaka khule haru,,,,,
275,Kim zong pani aaunu bhako rahechha tah,,,,,
276,"Pagal haru xa hau xyaa k huna lageko ho jhan k ko birod garna pareko ho yesto bidi, Yini haru 4,5 jana donkey haru lai niskasan garna parxa yo GENZ KO MAG",,,,,
277,k kaam layo taw 2ui 3itai sarkar ko,,,,,
278,Kursi bokne chai ko rahix feri,,,,,
279,Praveen Yadav hjr ta live hernu hunxa ni..jogiyera hernu,,,,,
280,Shasiraj Adhikari Aab ta Shield Lagayera Kaam Garnu Parne Awastha Aaisakyo Sir,,,,,
281,"182 leraayeko k kaam ho ta.congress , yemale, ssp jasto sano party harulai khusi banauna sakinna..",,,,,
282,Samsad ho ki Mahabharat ho?,,,,,
283,jabarjasti hain ke bahumatle pass hunx j pani jati karaya pani jati ufre pani,,,,,
284,Thukka m*** ho,,,,,
285,"Hera ta mero desh ko halat ?America, where do I submit my citizenship application?",,,,,
287,"Ai le ki Janta le ho
Nya ho ki purano ho
Reporter jyu..",,,,,
288,kink jon pani aako hun ra,,,,,
289,"abisha xetri time na vayar hola niii timero basne kurshi bahir lagna lako,tauko ma rakher",,,,,
290,Dipak Acharya handim k ho,,,,,
291,Bela Bela ma yestai hamro bmc clz tira hunx,,,,,
292,Yo Samsad Bhawan ko naam Wrestling Bhawan naam rakhda kasto hola sathi hoo…!!!,,,,,
293,Kushal Shrestha final bhanda nepal tira ramailo xa,,,,,
294,Hora Haina hola ki ho,,,,,
295,nawaraj devkota lu badhaai xa aayo hai foto aayo,,,,,
296,Sabai student leader holan check garum takunai na kunai party deki hunai paryo,,,,,
297,Yo  ta hunu nai thiyo,,,,,
298,Hoin Ka batt aauxa yasto namuna haru j Kura ma NE birod garne haru Ghar Kam Xain kya ho,,,,,
299,Dhad chilako jasto cha,,,,,
300,Hoina hola ki ho,,,,,
301,Pura no r naya ustae ho,,,,,
302,Yo aunty ta kada raxin jhandai sabhamukh ko mukh gako,,,,,
303,"Xyaa jata tatai ramaailo chha, kata kata herni ho",,,,,
304,Aha Kati ramro gyan daye raxan ramro lagyo malye ta 10/100,,,,,
305,Malai pani kasto movement  ma samila huna man lageu yaar balenko ajhako kura sunera thuiiika  guthey nai raicha pm ta hait,,,,,
307,Victore time chha sudhhrine Kam garda ramro sankhya ko kura hoina k beleko le mahatwo rakhchha.,,,,,
308,"Ini haru lai birodh garne bahana chaiyeko thyo gare 
K thulo kuro bhayo",,,,,
309,Nabolda ni hudaina bolda ni hudaina vata napugeko ho inarlai,,,,,
310,Rasopa ko hali,,,,,
311,IPL Vanda interesting vayo,,,,,
312,Badar vanda pahila yini janawar lai bebastapan garnu paryo,,,,,
313,Ipl hernu ki sadan ko roilo,,,,,
314,J gareni sukha xaina!  Nepal testai garib vako ta haina raixa nii !!,,,,,
315,Kukur haru ko jam ghat.,,,,,
316,Sahi ho,,,,,
317,Masu bhat khane din yechan yini haru feri,,,,,
318,Raj AT Bani YA yasta haru lai students vanna milxa,,,,,
319,Bole ni problem na bole ni problem pm banna garo raichha.give them some jobs sarkar..,,,,,
320,Pratipakshya lai kich out handim,,,,,
321,radika ban haru badar jastai uffrini raxan badar vagauna pathauna paryo taitt,,,,,
323,Jholey haru.,,,,,
324,sab k sab chor ho mujiharu,,,,,
325,gari khaau mg rd ko xora harukp ko xora haru,,,,,
326,berojgar haru,,,,,
327,Muji yemale hru hola,,,,,
328,Cricket vanda yata ramailo raixa,,,,,
329,Sahi leader harka n gopi hamal kulman mahabir pun,,,,,
330,Aba ghaito ma gham lagne vo ghante haru ko ysta des drohi haruko seaport garne kasta nepali hun,,,,,
331,Jaba gu haginxa teha kira haru seu seu garna lagxan,,,,,
332,"Police ko bhata charge ko surubad hunu parxa ,,",,,,,
333,"Hamro harka mananiye sadasya ka janu vayo 
Sabailai lagera dhunga bokaunu paro ke berojgar vayexan dherai",,,,,
334,Radiban jholey haru ajhai marya xainau khatey kukur haru,,,,,
335,Yeni haru bhanda tw boru kukur ramro saga karauxa hou,,,,,
336,Yo bacha harulai k thah kahile boarder ma gayera here po actual kura thah hunxa. Ho yadi thah xaena vane sarlahi ko jhim nadi ma gayera hera both side bata michiyeko xa,,,,,
337,Emale Lai moka paayo,,,,,
338,K ko jabarjasti bhandai cha yo routiney feri? Pratibedan jabarjasti parit huncha ra guithey? Lekhna payo bhandai ma line nai naheri chai nalekhana hau. Bahumat aayesi parit hune hola ni ani k aba tyo ni jabarjasti huncha? Talai daka!!!,,,,,
339,Live hernw ticket kata ktney ho ?,,,,,
340,Hera kukur haru,,,,,
341,Hoina k vairaxa yeta feriiii,,,,,
342,Jatha haru ladera marihala,,,,,
343,"Nabole ni problem,bolexi big problem
Garo xa PM lai",,,,,
344,Xakka haru,,,,,
345,Eni haru lai tei tauta kura chaya hunxa jatha haru mg kamai kaii xaaina,,,,,
346,Bharaute gyang haru,,,,,
347,"Yesto mindset hunelai law anusar kei na kei karbahi tw hunu parxa 
Natra aba sadai yestai dekhnu parxa hamle",,,,,
348,Hamro nani babu harule ke siknu huncha,,,,,
349,Ko bauni bajai ho yo sarai kada raixin bichara yasko budo ko halat k hola?,,,,,
350,Aba urlera k garxan feri yini haru kta le,,,,,
351,Bekup haru gabar vyesi testai ho yo gabar vanekai emale kai niskiyo,,,,,
352,Pakka rcb ka chakka haru hun ine mg pani,,,,,
353,Kaam payo yini haru le,,,,,
354,Hemràj Kunwàr  Chinnu vayo ta?,,,,,
355,bheda haru thulkaa,,,,,
356,Yo law maker ho ki chaos creator ho ki. This women seems on top to create situations,,,,,
357,Balla ab kei din ghr ko chulo balne vaya xa yeti vuke c,,,,,
358,Bujnunasujnu veda haru,,,,,
359,Tara baji Lai Lai,,,,,
360,Kura bujnu xaina kukur aru,,,,,
362,K ko absrodh bahumat uniharu nsanga nai ch,,,,,
363,Pahila vari bolena vanera gare aela bole pani garney k hola k ja gare nhi suka xaina yo manxe haru lai,,,,,
364,Kp  Oli kaa Baan haru,,,,,
365,Sab amaley ra harke ko manxe hola 20.30 jana holan ekxin ma ghar farkinxan chill guys,,,,,
366,Jole haru ko raojgari khulyo,,,,,
367,Oli ko Toli,,,,,
368,J ma ni birodh  birodh garda ni alik kura bujhera garum na,,,,,
369,India KO jamin firta gar Sarkar,,,,,
370,Thukkaa badar haru,,,,,
371,Kailay nasudhrenay  vo yo purano gandu haru,,,,,
372,sab RCB ka fan hunn jasto xa,,,,,
373,Yo nilo shirt dekhine khate ko naam Gopal ho .. ASCOL vupu gunda khate,,,,,
374,Bagwan goli hanhou aasto haru lai,,,,,
375,yaniharu vukdaima kehi chodidaina kukur haru lai haddi  falyo vne chup lagxan haddi khana napayarw ho,,,,,
376,monkey haru ..... kurwa,,,,,
377,Saav gunda don Chor jasto po xan ta,,,,,
378,Aru desh arkako kabja Garda garba garxan hamro ma chai dukhi,,,,,
379,Kuro ko churo bujnu xaina paila ramro sanga research garau ani birod garau,,,,,
380,Khate haru je kurako pani birodh garna janmeko,,,,,
381,Garnu parxa je man ma lago tai bolna painxa ra pm hos ke cm hos,,,,,
382,"Agadi aemale xutexa
Aemale yuba hola",,,,,
383,Yemale hola,,,,,
384,Garun mula kati fursad mileko ho,,,,,
